Timestamp_s;Angle_deg;AngleDifference;NormalizedDegrees;;;;
2,369033333;-165,929482;0,033702063;-0,049482036;;;;
2,385716667;-165,8761512;0,05333085;0,003848814;;;;
2,4024;-166,0343982;-0,158247039;-0,154398225;;;;
2,419083333;-165,8858297;0,148568558;-0,005829667;;;;
2,435766667;-165,929494;-0,043664337;-0,049494004;;;;
2,45245;-165,8962664;0,033227596;-0,016266408;;;;
2,469133333;-165,8930627;0,003203705;-0,013062703;;;;
2,485816667;-165,9553049;-0,062242195;-0,075304898;;;;
2,5025;-165,8650124;0,090292457;0,014987559;;;;
2,519183333;-165,9438681;-0,078855656;-0,063868097;;;;
2,535866667;-165,8888645;0,055003636;-0,008864461;;;;
2,55255;-165,976374;-0,087509537;-0,096373998;;;;
2,569233333;-165,9281865;0,048187451;-0,048186547;;;;
2,585916667;-165,991286;-0,063099471;-0,111286018;;;;
2,6026;-165,9929048;-0,001618785;-0,112904802;;;;
2,619283333;-165,9643287;0,028576086;-0,084328716;;;;
2,635966667;-165,9372495;0,027079167;-0,057249549;;;;
2,65265;-165,9378248;-0,000575278;-0,057824827;;;;
2,669333333;-165,9172595;0,020565291;-0,037259536;;;;
2,686016667;-165,8595851;0,057674476;0,02041494;;;;
2,7027;-165,9853072;-0,12572218;-0,10530724;;;;
2,719383333;-165,923273;0,062034283;-0,043272957;;;;
2,736066667;-165,880632;0,042640964;-0,000631994;;;;
2,75275;-165,911937;-0,031305033;-0,031937027;;;;
2,769433333;-165,8391541;0,072782882;0,040845855;;;;
2,786116667;-165,87928;-0,040125815;0,00072004;;;;
2,8028;-165,8725553;0,006724701;0,007444741;;;;
2,819483333;-165,9006626;-0,028107297;-0,020662557;;;;
2,836166667;-165,9707837;-0,070121129;-0,090783685;;;;
2,85285;-165,9916187;-0,020835039;-0,111618724;;;;
2,869533333;-165,8884923;0,103126418;-0,008492306;;;;
2,886216667;-165,8590159;0,029476393;0,020984087;;;;
2,9029;-165,8716578;-0,012641916;0,008342171;;;;
2,919583333;-165,9511836;-0,079525759;-0,071183588;;;;
2,936266667;-165,9501911;0,000992528;-0,07019106;;;;
2,95295;-166,0347318;-0,084540744;-0,154731804;;;;
2,969633333;-165,9713819;0,06334995;-0,091381854;;;;
2,986316667;-165,8933067;0,078075183;-0,013306671;;;;
3,003;-165,8838709;0,009435726;-0,003870944;;;;
3,019683333;-165,8925272;-0,008656269;-0,012527213;;;;
3,036366667;-165,9059038;-0,013376592;-0,025903805;;;;
3,05305;-165,9503569;-0,04445306;-0,070356865;;;;
3,069733333;-165,8704602;0,079896704;0,009539839;;;;
3,086416667;-165,9027525;-0,03229232;-0,02275248;;;;
3,1031;-165,9581462;-0,055393702;-0,078146183;;;;
3,119783333;-165,9393923;0,018753837;-0,059392346;;;;
3,136466667;-165,8935017;0,045890667;-0,013501679;;;;
3,15315;-165,888678;0,004823714;-0,008677965;;;;
3,169833333;-165,8619506;0,026727372;0,018049407;;;;
3,186516667;-165,911336;-0,049385442;-0,031336035;;;;
3,2032;-166,0325892;-0,121253187;-0,152589222;;;;
3,219883333;-165,8980965;0,134492698;-0,018096524;;;;
3,236566667;-165,9731274;-0,075030876;-0,0931274;;;;
3,25325;-165,9123072;0,060820213;-0,032307188;;;;
3,269933333;-166,0025771;-0,09026995;-0,122577138;;;;
